word,Pleasantness,P_Deviation,Activation,A_Deviation,Imagery,I_Deviation,Words found from dictionary
agrees,2.40000,0.55000,1.62500,0.04500,1.60000,0.08000,1
agricultural,1.80000,0.05000,1.25000,0.42000,1.80000,0.28000,1
agriculture,2.28570,0.43570,1.30000,0.37000,2.20000,0.68000,1
ah,2.40000,0.55000,1.50000,0.17000,1.40000,0.12000,1
ahead,1.55560,0.29440,1.66670,0.00330,1.60000,0.08000,1
aid,2.20000,0.35000,1.62500,0.04500,1.60000,0.08000,1
aided,2.50000,0.65000,1.72730,0.05730,1.80000,0.28000,1
aids,1.62500,0.22500,2.09090,0.42090,2.40000,0.88000,1
aim,2.57140,0.72140,1.80000,0.13000,1.80000,0.28000,1
aimed,2.00000,0.15000,1.62500,0.04500,2.20000,0.68000,1
aims,2.40000,0.55000,1.87500,0.20500,1.60000,0.08000,1
ain�t,0.00000,1.85000,0.00000,1.67000,0.00000,1.52000,0
air,2.00000,0.15000,1.40000,0.27000,2.40000,0.88000,1
aircraft,1.87500,0.02500,1.72730,0.05730,2.80000,1.28000,1
airplane,1.50000,0.35000,1.77780,0.10780,2.60000,1.08000,1
airplanes,1.71430,0.13570,1.80000,0.13000,3.00000,1.48000,1
airport,1.66670,0.18330,1.77780,0.10780,3.00000,1.48000,1
akin,1.80000,0.05000,1.12500,0.54500,1.00000,0.52000,1
alarm,1.00000,0.85000,2.25000,0.58000,2.60000,1.08000,1
alarmed,1.00000,0.85000,2.37500,0.70500,1.80000,0.28000,1
alarming,1.00000,0.85000,2.58330,0.91330,2.00000,0.48000,1
alas,2.00000,0.15000,1.22220,0.44780,1.00000,0.52000,1
alcohol,1.71430,0.13570,2.20000,0.53000,3.00000,1.48000,1
alcoholic,1.00000,0.85000,2.16670,0.49670,3.00000,1.48000,1
alert,2.00000,0.15000,2.50000,0.83000,2.20000,0.68000,1
alien,1.42860,0.42140,1.80000,0.13000,3.00000,1.48000,1
alienation,1.00000,0.85000,1.72730,0.05730,2.00000,0.48000,1
alike,2.25000,0.40000,1.36360,0.30640,1.40000,0.12000,1
alive,2.66670,0.81670,2.50000,0.83000,2.40000,0.88000,1
all,2.00000,0.15000,1.40000,0.27000,1.20000,0.32000,1
alleged,1.20000,0.65000,1.12500,0.54500,1.20000,0.32000,1
alliance,2.20000,0.35000,1.25000,0.42000,1.60000,0.08000,1
allied,2.33330,0.48330,1.44440,0.22560,1.40000,0.12000,1
